관광지,언급량
우목저수지,38
온동저수지,14
삼길포방파제,167
행담도,3957
방포방파제,98
광덕계곡,935
반산저수지,63
남당리방파제,67
해창지,45
청천저수지,320
면천저수지,311
고룡산,32
마곡사계곡,1136
모항항,1180
어사항,108
산수리계곡,94
수철저수지,103
정안저수지,296
설화산,813
중흥저수지,708
태안해안국립공원학암포지구,6
죽도,109938
마량진항,197
구만리계곡,248
신동저수지,373
덕숭산,1529
백화산,2683
숭암저수지,14
삼길포해수욕장,197
기산저수지,1940
보령해양경찰서전용부두,240
남창지,7
잠홍저수지,121
화림지,11
명대계곡,257
산수저수지,665
냉천골계곡,113
공리저수지,70
죽도항,129
고파도해수욕장,247
서대산,1522
지포저수지,67
마티고개,414
장곡저수지,176
대천항방파제,274
법산지,39
청강수계곡,140
가곡저수지,191
홍원방파제,37
유계저수지,40
물안지명지지-서산,2723
무창포방파제,146
흥림저수지,43
전대리저수지,32
가화저수지,37
봉서저수지,90
옥계저수지,429
칠갑저수지,192
심연동계곡,39
부사호,135
종천저수지,46
마량포동백나무숲자연휴양림,460
봉림저수지,68
홍동저수지,35
동암저수지,160
신대저수지,827
황골소류지,27
진죽저수지,11
병사저수지,744
천리포방파제,135
새터저수지,153
예당호출렁다리,3683
국립생태원,8505
탑정호출렁다리,3903
지중해마을,12663
월영산출렁다리,1723
태안신두리해안사구,2900
천장호출렁다리,1330
내포보부상촌,1084
신성리갈대밭,1431
서산버드랜드,842
메타세콰이어길,31445
아산퍼스트빌리지공룡월드,444
적벽강,2460
주니어천문스쿨천안점,1
로보카폴리안전체험공원,215
네이처월드,2728
성성호수공원방문자센터,315
청보리밭,12474
머드광장,2397
청양칠갑산천문대,350
충청남도안전체험관,365
천안북면위례벚꽃길,528
보령무궁화수목원,466
안면도미로공원,282
주산벚꽃길,339
금산산림문화타운,200
장곡사벚꽃길,215
팔봉수로,142
천수만,4002
월하성갯벌체험장,38
웅천역폐역,35
별주부마을,437
단풍나무숲길독립기념관,2495
오서산억새군락지,175
학성리공룡섬,89
안면도서부해안관광도로,1660
미내다리,311
유구핑크뮬리정원,191
계룡산국립공원천정탐방지원센터,652
순성벚꽃길,280
운여솔밭,58
쉰질바위,150
안흥유람선,91
용신어촌체험마을,46
연산역철도문화체험장,50
서산해미천벚꽃길,135
안면도해안관광도로,269
서산해미읍성회화나무,1455
광덕쉼터,467
굴혈포갯벌체험장,2
할미할아비바위,1460
태안해안국립공원기지포탐방지원센터,563
석문국가산업단지음악분수대,57
코끼리바위,13268
굿뜨래웰빙마을,29
웅도바다갈라짐,114
서동요출렁다리,96
사비도성가상체험관,157
신례원벚꽃길,27
아기자기랜드,3253
구드래유람선,477
석문해안도로,96
구경정나루,18
돈암서원한옥마을,235
가재산벚꽃길,13
잠홍저수지수변공원,11
목소리테마파크,2969
금산천벚꽃길,40
몽산포탐방지원센터,59
은포리해안도로,9
유구천,920
안흥나래교,183
탑정호음악분수,763
합덕농촌테마공원,68
금강2경(신성리갈대밭)신성리지구,71
미나릿길벽화마을,78
천안어린이체험관,705
덕산메타세콰이어길,227
달산포스포츠휴양타운,16
회뜨는선상,621
소황사구,137
당진농심테마파크,33
황산벌둥지,21
논산관광농원,148
검은여,579
밤섬선착장,175
금강1경(금강하구철새도래지)조류관찰대1,434
왕지봉배꽃,63
제3정문앞벚꽃길,6632
판교시간이멈춘마을,230
안면도꽃지할매바위,227
당진시관광정보센터,288
탑정호수로,401
논산한옥마을,981
보곡산꽃단지,1
공산성방문자센터,164
가름이선착장,5
안면도영목항,1297
홍성방조제,451
자온길,292
구기자타운,156
의좋은형제마을,332
제3정문앞벚꽃길,6632
물닭섬탐방로,24
내포문화숲길홍성센터,1491
도고벽화마을,75
사자산체험마을,52
천북마리나,19
사비궁,590
안면송림,234
용장천,270
신비의바닷길,4901
만리포출렁다리,160
청양나선형도로,52
진고지선착장,12
유구벽화마을,93
전북폐목장청보리밭,2
숲길방문자센터,1236
송정그림책마을,121
간월호철새탐조대,12
대둔산태고사등산로,97
부억도,103
상신탐방지원센터,68
휴휴당,242
간치역폐역,5
쌀썩은여,186
지산리수로,22
독일마을,19821
물버들생태탐방교,29
배롱나무길,13584
웅천천,123
제방질주,174
금강3경(강경포구)개척지구,7
쌍달리체험학습장,0
임해관광도로,248
느리실마을,20
코끼리바위,13268
무량사석등,192
도내나루터,55
홍성남당항해양수산복합공간,100
금강6경(고마나루솔밭)공주보좌안,18
금강6경(고마나루솔밭)웅진지구1,99
김좌진장군동상,185
구멍바위,22294
금강3경(강경포구)세도지구,5
물레방아유원지,175
